phen,h2.obs,h2.latent,ascertained,p,LOC
Sjogren,0.000119665,0.00223166,FALSE,0.00310346,1251
SLE_Discovery,0.000139854,0.00105174,FALSE,0.00534739,1291
RA,9.66116e-05,0.000421831,FALSE,0.055083,1291
SSc,1.54402e-05,0.000849969,FALSE,0.331512,1291
Sjogren,3.58424e-05,0.000668432,FALSE,0.171829,1291
RA,3.32316e-05,0.000145098,FALSE,0.118848,1531
SSc,3.84407e-07,2.11613e-05,FALSE,0.461024,1531
Sjogren,1.38252e-05,0.000257829,FALSE,0.211127,1531
SLE_Discovery,0.000485573,0.00365165,FALSE,4.76171e-11,1610
RA,0.000295769,0.0012914,FALSE,0.00010592,1610
SSc,8.9711e-05,0.00493853,FALSE,0.0333189,1610
Sjogren,0.000115046,0.00214551,FALSE,0.0103688,1610
SLE_Discovery,0.000362823,0.00272853,FALSE,9.83394e-10,1647
RA,8.98508e-05,0.000392312,FALSE,0.0624072,1647
SSc,0.000131813,0.00725622,FALSE,0.000647286,1647
Sjogren,9.64845e-05,0.00179936,FALSE,0.00754035,1647
SLE_Discovery,0.000630496,0.00474151,FALSE,9.55854e-15,1744
RA,3.11138e-06,1.35851e-05,FALSE,0.473389,1744
SSc,0.000159249,0.00876651,FALSE,0.00173145,1744
Sjogren,0.000242227,0.00451733,FALSE,9.27963e-06,1744
SLE_Discovery,2.66849e-05,0.000200678,FALSE,0.28398,1840
RA,3.11882e-05,0.000136176,FALSE,0.281249,1840
SLE_Discovery,0.000244758,0.00184065,FALSE,6.85142e-05,1841
RA,0.00041591,0.00181597,FALSE,4.04582e-08,1841
SSc,0.00015842,0.00872089,FALSE,0.000409965,1841
Sjogren,8.16654e-05,0.00152299,FALSE,0.0342403,1841
SLE_Discovery,0.000114578,0.000861658,FALSE,0.0356252,2115
RA,0.000375191,0.00163818,FALSE,1.43424e-06,2115
SSc,5.34587e-05,0.00294286,FALSE,0.123803,2115
Sjogren,0.000184733,0.00344512,FALSE,0.000130538,2115
SLE_Discovery,0.00117293,0.00882076,FALSE,8.49788e-45,2128
RA,7.67312e-05,0.000335028,FALSE,0.118962,2128
SSc,4.73821e-05,0.00260835,FALSE,0.130592,2128
Sjogren,0.000149153,0.00278158,FALSE,0.000590108,2128
SLE_Discovery,0.000979669,0.00736739,FALSE,3.0537e-26,2167
RA,0.000362624,0.00158331,FALSE,3.86427e-05,2167
SSc,0.000291961,0.0160722,FALSE,8.40423e-07,2167
Sjogren,0.000286637,0.00534555,FALSE,1.2371e-06,2167
SLE_Discovery,0.000268518,0.00201933,FALSE,7.03983e-05,2181
RA,0.000116435,0.000508385,FALSE,0.0613251,2181
Sjogren,9.13781e-06,0.000170413,FALSE,0.413539,2181
SLE_Discovery,0.000208399,0.00156722,FALSE,0.00040984,2204
RA,6.37958e-05,0.000278549,FALSE,0.163196,2204
SSc,5.30469e-05,0.00292019,FALSE,0.108364,2204
SLE_Discovery,0.000540846,0.00406732,FALSE,9.45607e-12,2318
RA,0.00106394,0.00464544,FALSE,5.42728e-26,2318
SSc,2.70204e-05,0.00148745,FALSE,0.291395,2318
Sjogren,0.000169545,0.00316188,FALSE,0.000992523,2318
SLE_Discovery,0.000389944,0.00293249,FALSE,3.96368e-10,2364
RA,0.000230045,0.00100444,FALSE,0.00027777,2364
SSc,0.000105615,0.00581405,FALSE,0.00583046,2364
Sjogren,2.5122e-05,0.000468505,FALSE,0.252768,2364
SLE_Discovery,0.000442239,0.00332576,FALSE,9.99306e-11,2466
RA,0.000182725,0.000797823,FALSE,0.00503958,2466
Sjogren,0.000148062,0.00276124,FALSE,0.000839156,2466
