phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p,LOC
SLE_Discovery,SLE_Replication,0.0681812,-0.322,0.49174,0.00464868,0,0.25568,0.718831,179
SLE_Discovery,SLE_Replication,0.610329,0.19144,1,0.372501,0.03684,1,0.00564176,184
SLE_Discovery,SLE_Replication,0.265239,-0.36627,1,0.0703515,0,1,0.362978,186
SLE_Discovery,SLE_Replication,0.530534,-0.20633,1,0.281466,0,1,0.142291,189
SLE_Discovery,SLE_Replication,0.114816,-0.53847,0.87128,0.0131828,0,0.84245,0.68641,190
SLE_Discovery,SLE_Replication,0.0834325,-0.49986,0.7213,0.00696099,0,0.59635,0.74854,192
SLE_Discovery,SLE_Replication,-0.226177,-0.64011,0.13524,0.051156,0,0.41048,0.205429,196
SLE_Discovery,SLE_Replication,0.254232,-0.50074,1,0.0646337,0,1,0.44658,197
SLE_Discovery,SLE_Replication,0.38404,-0.2928,1,0.147487,0,1,0.231482,206
SLE_Discovery,SLE_Replication,-0.091182,-1,0.94049,0.00831416,0,1,0.813949,211
SLE_Discovery,SLE_Replication,-0.307977,-0.98105,0.22427,0.0948501,0,0.96511,0.226265,212
SLE_Discovery,SLE_Replication,0.768397,0.1239,1,0.590435,0.0219,1,0.0267092,218
SLE_Discovery,SLE_Replication,0.210049,-0.31595,0.8444,0.0441204,0,0.72212,0.393802,221
SLE_Discovery,SLE_Replication,0.309182,-0.29736,1,0.0955937,0,1,0.28916,223
SLE_Discovery,SLE_Replication,0.361688,-0.06168,0.88166,0.130818,0,0.77733,0.0916583,224
SLE_Discovery,SLE_Replication,0.469437,-0.0251,1,0.220371,0,1,0.0601116,232
SLE_Discovery,SLE_Replication,0.682791,-0.17711,1,0.466204,0,1,0.112602,240
SLE_Discovery,SLE_Replication,-0.315078,-0.96336,0.18396,0.0992744,0,0.9313,0.195014,251
SLE_Discovery,SLE_Replication,-0.627432,-1,-0.12976,0.393671,0.0179,1,0.015521,252
SLE_Discovery,SLE_Replication,0.655675,0.02753,1,0.42991,0.00599,1,0.0439405,268
SLE_Discovery,SLE_Replication,-0.0229045,-0.51036,0.48662,0.000524616,0,0.36222,0.919256,271
SLE_Discovery,SLE_Replication,-0.0136037,-0.95028,0.84562,0.00018506,0,1,0.967257,272
SLE_Discovery,SLE_Replication,-0.138668,-1,0.6527,0.0192289,0,1,0.672112,277
SLE_Discovery,SLE_Replication,-0.395399,-1,0.28696,0.15634,0,1,0.223637,286
SLE_Discovery,SLE_Replication,-0.257657,-1,0.41984,0.0663869,0,1,0.40078,290
SLE_Discovery,SLE_Replication,0.0172837,-0.68706,0.70753,0.000298725,0,0.73637,0.951839,297
SLE_Discovery,SLE_Replication,0.722477,-0.11175,1,0.521974,0,1,0.0821531,298
SLE_Discovery,SLE_Replication,0.110192,-0.49286,0.82695,0.0121423,0,0.79436,0.677999,301
SLE_Discovery,SLE_Replication,0.731024,0.15161,1,0.534396,0.02588,1,0.0198763,305
SLE_Discovery,SLE_Replication,-0.184709,-0.73786,0.31711,0.0341174,0,0.55246,0.436985,306
SLE_Discovery,SLE_Replication,0.10395,-1,1,0.0108057,0,1,0.817516,308
SLE_Discovery,SLE_Replication,-0.512286,-1,0.0623,0.262437,0,1,0.0787486,312
SLE_Discovery,SLE_Replication,0.102618,-0.54786,0.85065,0.0105304,0,0.84522,0.720651,320
SLE_Discovery,SLE_Replication,0.182696,-0.75624,1,0.0333778,0,1,0.626499,322
SLE_Discovery,SLE_Replication,0.737649,0.16973,1,0.544126,0.03188,1,0.0143309,326
SLE_Discovery,SLE_Replication,0.167541,-0.54813,1,0.0280699,0,1,0.58809,327
SLE_Discovery,SLE_Replication,0.31791,-0.64436,1,0.101066,0,1,0.439675,333
SLE_Discovery,SLE_Replication,0.182034,-1,1,0.0331363,0,1,0.694212,335
SLE_Discovery,SLE_Replication,0.0219528,-0.98984,1,0.000481924,0,1,0.952356,342
SLE_Discovery,SLE_Replication,-0.624336,-1,0.27707,0.389795,0,1,0.147614,353
SLE_Discovery,SLE_Replication,-0.154985,-0.68529,0.33419,0.0240205,0,0.4805,0.490693,355
SLE_Discovery,SLE_Replication,-0.44569,-1,0.31607,0.198639,0,1,0.214313,356
SLE_Discovery,SLE_Replication,0.0325781,-0.55375,0.63235,0.00106133,0,0.51921,0.89726,359
SLE_Discovery,SLE_Replication,0.327085,-0.50654,1,0.106985,0,1,0.382813,365
SLE_Discovery,SLE_Replication,0.0124872,-1,1,0.000155929,0,1,0.979325,368
SLE_Discovery,SLE_Replication,0.76937,0.59074,0.98238,0.59193,0.34897,0.96508,1.39527e-12,374
SLE_Discovery,SLE_Replication,0.502488,0.03879,1,0.252494,0.00478,1,0.0388624,377
SLE_Discovery,SLE_Replication,0.604841,-0.20416,1,0.365833,0,1,0.118236,380
SLE_Discovery,SLE_Replication,-0.0288572,-0.94904,0.82683,0.000832736,0,1,0.933712,382
SLE_Discovery,SLE_Replication,0.385575,-0.32873,1,0.148668,0,1,0.251171,383
SLE_Discovery,SLE_Replication,-0.306476,-1,0.50643,0.0939273,0,1,0.385991,385
SLE_Discovery,SLE_Replication,0.43523,-0.15552,1,0.189425,0,1,0.136468,395
SLE_Discovery,SLE_Replication,0.317977,-0.81515,1,0.101109,0,1,0.479637,396
SLE_Discovery,SLE_Replication,-0.0628098,-1,0.8024,0.00394507,0,1,0.853058,398
SLE_Discovery,SLE_Replication,-0.207372,-1,0.61559,0.0430032,0,1,0.558905,402
SLE_Discovery,SLE_Replication,-0.318354,-0.83379,0.11889,0.101349,0,0.69521,0.143323,404
SLE_Discovery,SLE_Replication,-0.441121,-1,0.3199,0.194588,0,1,0.214652,405
SLE_Discovery,SLE_Replication,0.00611136,-0.40565,0.41496,3.73488e-05,0,0.23323,0.974602,406
SLE_Discovery,SLE_Replication,0.241053,-0.37154,1,0.0581067,0,1,0.392426,407
SLE_Discovery,SLE_Replication,-0.394092,-1,0.36485,0.155309,0,1,0.264273,408
SLE_Discovery,SLE_Replication,-0.0921885,-1,1,0.00849872,0,1,0.818771,411
SLE_Discovery,SLE_Replication,0.230248,-0.33018,0.95655,0.053014,0,0.92597,0.389128,412
SLE_Discovery,SLE_Replication,0.176868,-0.52948,1,0.0312825,0,1,0.565354,415
SLE_Discovery,SLE_Replication,-0.0889331,-0.62046,0.42026,0.00790909,0,0.41506,0.706697,417
SLE_Discovery,SLE_Replication,0.165692,-0.31051,0.69577,0.0274538,0,0.49192,0.455093,424
SLE_Discovery,SLE_Replication,-0.25772,-0.67039,0.11452,0.0664198,0,0.44942,0.167527,425
SLE_Discovery,SLE_Replication,-0.036105,-0.64447,0.54921,0.00130357,0,0.51879,0.890092,428
SLE_Discovery,SLE_Replication,-0.49976,-1,0.14382,0.24976,0,1,0.118787,431
SLE_Discovery,SLE_Replication,-0.05674,-0.83913,0.65137,0.00321943,0,0.90721,0.844597,432
SLE_Discovery,SLE_Replication,0.335136,-0.04643,0.82864,0.112316,0,0.68665,0.0809126,435
SLE_Discovery,SLE_Replication,0.0517194,-0.46004,0.56614,0.0026749,0,0.37841,0.81921,438
SLE_Discovery,SLE_Replication,0.463991,-0.16884,1,0.215288,0,1,0.140435,445
SLE_Discovery,SLE_Replication,-0.429578,-1,0.41261,0.184537,0,1,0.263349,447
SLE_Discovery,SLE_Replication,0.513406,-0.27799,1,0.263586,0,1,0.171184,448
SLE_Discovery,SLE_Replication,0.269347,-0.15057,0.76606,0.0725479,0,0.58968,0.196972,449
SLE_Discovery,SLE_Replication,0.524707,-0.38065,1,0.275317,0,1,0.223959,451
SLE_Discovery,SLE_Replication,0.0104279,-0.86876,0.90364,0.00010874,0,1,0.975197,452
SLE_Discovery,SLE_Replication,-0.173343,-1,0.53471,0.030048,0,1,0.575436,459
SLE_Discovery,SLE_Replication,0.216403,-0.28639,0.78491,0.0468301,0,0.62337,0.359208,463
SLE_Discovery,SLE_Replication,0.0230526,-0.65893,0.727,0.000531422,0,0.75569,0.935622,466
SLE_Discovery,SLE_Replication,0.181881,-0.63798,1,0.0330808,0,1,0.598293,468
SLE_Discovery,SLE_Replication,0.00917034,-1,1,8.40951e-05,0,1,0.981742,469
SLE_Discovery,SLE_Replication,0.373137,-0.17234,1,0.139231,0,1,0.167751,470
SLE_Discovery,SLE_Replication,0.130913,-0.33464,0.66029,0.0171383,0,0.43929,0.554846,471
SLE_Discovery,SLE_Replication,-0.107647,-0.83904,0.53764,0.0115879,0,0.81131,0.704973,472
SLE_Discovery,SLE_Replication,0.124266,-0.42619,0.72933,0.015442,0,0.57287,0.616802,474
SLE_Discovery,SLE_Replication,0.31374,-0.25118,1,0.0984327,0,1,0.256949,475
SLE_Discovery,SLE_Replication,0.06792,-0.43121,0.61041,0.00461312,0,0.40732,0.771609,476
SLE_Discovery,SLE_Replication,0.0322837,-0.4766,0.55445,0.00104224,0,0.37837,0.889205,478
SLE_Discovery,SLE_Replication,-0.30012,-1,0.61145,0.0900723,0,1,0.429331,479
SLE_Discovery,SLE_Replication,0.0736909,-0.30014,0.46856,0.00543035,0,0.23212,0.687994,483
SLE_Discovery,SLE_Replication,0.251211,-0.37837,1,0.063107,0,1,0.403816,484
SLE_Discovery,SLE_Replication,-0.284351,-1,0.33696,0.0808553,0,1,0.318557,485
SLE_Discovery,SLE_Replication,-0.450121,-1,0.38968,0.202609,0,1,0.249949,488
SLE_Discovery,SLE_Replication,0.117359,-0.59159,0.96484,0.0137731,0,1,0.70582,489
SLE_Discovery,SLE_Replication,-0.196597,-1,0.78456,0.0386504,0,1,0.615733,505
SLE_Discovery,SLE_Replication,0.193738,-0.37108,0.95397,0.0375346,0,0.94299,0.447769,512
SLE_Discovery,SLE_Replication,0.0346778,-0.69907,0.82973,0.00120255,0,1,0.90746,517
SLE_Discovery,SLE_Replication,0.27986,-0.107,0.708,0.0783217,0,0.50126,0.155549,518
SLE_Discovery,SLE_Replication,-0.0714159,-0.48217,0.33337,0.00510024,0,0.24896,0.71043,519
SLE_Discovery,SLE_Replication,0.118269,-0.36842,0.66222,0.0139877,0,0.45614,0.611881,532
SLE_Discovery,SLE_Replication,-0.245451,-1,0.38917,0.060246,0,1,0.39207,533
SLE_Discovery,SLE_Replication,-0.0195712,-0.5549,0.51402,0.000383032,0,0.4064,0.935928,538
SLE_Discovery,SLE_Replication,0.331063,-0.1204,0.88156,0.109603,0,0.77715,0.135291,539
SLE_Discovery,SLE_Replication,-0.0820985,-1,1,0.00674016,0,1,0.846218,545
SLE_Discovery,SLE_Replication,-0.23515,-1,0.36566,0.0552956,0,1,0.398135,550
SLE_Discovery,SLE_Replication,-0.350821,-1,0.29415,0.123075,0,1,0.255895,552
SLE_Discovery,SLE_Replication,0.578984,0.13503,1,0.335223,0.01972,1,0.0155573,561
SLE_Discovery,SLE_Replication,0.593753,0.01431,1,0.352542,0.00575,1,0.0476577,569
SLE_Discovery,SLE_Replication,0.448549,-0.12769,1,0.201196,0,1,0.112671,570
SLE_Discovery,SLE_Replication,-0.0286822,-0.47428,0.40455,0.000822666,0,0.25954,0.888597,573
SLE_Discovery,SLE_Replication,0.175037,-0.76192,1,0.0306381,0,1,0.640048,574
SLE_Discovery,SLE_Replication,-0.641444,-1,-0.10847,0.411451,0.01589,1,0.0235438,577
SLE_Discovery,SLE_Replication,-0.310145,-0.76359,0.08311,0.0961896,0,0.58307,0.110942,583
SLE_Discovery,SLE_Replication,0.0792158,-0.38986,0.56919,0.00627514,0,0.35627,0.71486,584
SLE_Discovery,SLE_Replication,0.242503,-0.1174,0.65979,0.0588079,0,0.43532,0.182821,585
SLE_Discovery,SLE_Replication,0.489885,-0.0329,1,0.239987,0,1,0.0718145,586
SLE_Discovery,SLE_Replication,0.843303,0.20115,1,0.71116,0.04366,1,0.0147168,588
SLE_Discovery,SLE_Replication,-0.750749,-1,-0.27508,0.563624,0.07567,1,0.00330378,590
SLE_Discovery,SLE_Replication,0.0595968,-0.57848,0.7444,0.00355178,0,0.67701,0.827513,591
SLE_Discovery,SLE_Replication,0.406299,-0.10653,1,0.165079,0,1,0.117505,601
SLE_Discovery,SLE_Replication,0.562744,-0.13767,1,0.31668,0,1,0.101594,603
SLE_Discovery,SLE_Replication,0.0785876,-0.38345,0.57,0.006176,0,0.35168,0.717366,604
SLE_Discovery,SLE_Replication,-0.390699,-1,0.12888,0.152645,0,1,0.145679,605
SLE_Discovery,SLE_Replication,0.512124,-0.10873,1,0.262271,0,1,0.0993511,613
SLE_Discovery,SLE_Replication,-0.101971,-0.74188,0.48073,0.0103981,0,0.6429,0.701539,619
SLE_Discovery,SLE_Replication,0.488109,-0.19008,1,0.23825,0,1,0.14675,620
SLE_Discovery,SLE_Replication,0.494105,-0.20455,1,0.24414,0,1,0.153475,621
SLE_Discovery,SLE_Replication,0.332095,-0.37634,1,0.110287,0,1,0.321586,623
SLE_Discovery,SLE_Replication,0.16689,-0.418,0.83097,0.0278522,0,0.73412,0.52597,624
SLE_Discovery,SLE_Replication,0.334143,-0.04064,0.77728,0.111652,0,0.60416,0.08291,638
SLE_Discovery,SLE_Replication,0.695128,0.07108,1,0.483203,0.01187,1,0.0339153,640
SLE_Discovery,SLE_Replication,0.44804,-0.20959,1,0.20074,0,1,0.154723,652
SLE_Discovery,SLE_Replication,0.0907014,-0.95409,1,0.00822675,0,1,0.817707,653
SLE_Discovery,SLE_Replication,0.0132244,-1,1,0.000174884,0,1,0.973355,655
SLE_Discovery,SLE_Replication,0.113855,-0.48723,0.78664,0.012963,0,0.68102,0.670007,658
SLE_Discovery,SLE_Replication,0.165225,-0.63524,1,0.0272992,0,1,0.622721,663
SLE_Discovery,SLE_Replication,-0.190318,-1,1,0.036221,0,1,0.662004,668
SLE_Discovery,SLE_Replication,-0.694092,-1,-0.14369,0.481764,0.02384,1,0.0201564,670
SLE_Discovery,SLE_Replication,0.149876,-0.65032,1,0.0224627,0,1,0.64877,673
SLE_Discovery,SLE_Replication,0.149839,-0.58231,1,0.0224517,0,1,0.6325,674
SLE_Discovery,SLE_Replication,-0.377334,-1,0.53303,0.142381,0,1,0.339422,676
SLE_Discovery,SLE_Replication,0.0868935,-0.57529,0.79521,0.00755048,0,0.76235,0.758891,690
SLE_Discovery,SLE_Replication,0.34875,-0.1316,1,0.121626,0,1,0.14903,692
SLE_Discovery,SLE_Replication,-0.637455,-1,0.38754,0.406349,0,1,0.181931,695
SLE_Discovery,SLE_Replication,0.119936,-0.37973,0.6512,0.0143846,0,0.43904,0.603295,698
SLE_Discovery,SLE_Replication,0.253327,-0.30055,0.97262,0.0641744,0,0.94937,0.327786,701
SLE_Discovery,SLE_Replication,0.955406,0.10839,1,0.9128,0.02963,1,0.0393823,702
SLE_Discovery,SLE_Replication,-0.229137,-1,0.63833,0.0525039,0,1,0.531871,712
SLE_Discovery,SLE_Replication,-0.0598211,-0.87078,0.68937,0.00357856,0,0.95295,0.842248,725
SLE_Discovery,SLE_Replication,0.444251,-0.1449,1,0.197359,0,1,0.128167,726
SLE_Discovery,SLE_Replication,0.210557,-0.2547,0.73491,0.0443342,0,0.54205,0.346285,727
SLE_Discovery,SLE_Replication,0.269209,-0.36683,1,0.0724733,0,1,0.362939,738
SLE_Discovery,SLE_Replication,-0.814075,-1,-0.11421,0.662717,0.02481,1,0.0286147,744
SLE_Discovery,SLE_Replication,-0.0257095,-1,1,0.000660978,0,1,0.945094,757
SLE_Discovery,SLE_Replication,0.0463773,-0.69876,0.81788,0.00215085,0,0.94638,0.87857,759
SLE_Discovery,SLE_Replication,0.0311478,-0.95291,1,0.000970184,0,1,0.932114,764
SLE_Discovery,SLE_Replication,0.437949,-0.06093,1,0.191799,0,1,0.093494,765
SLE_Discovery,SLE_Replication,-0.412139,-0.83897,-0.06436,0.169859,0.00579,0.70387,0.0235754,768
SLE_Discovery,SLE_Replication,-0.225393,-1,0.61342,0.0508019,0,1,0.525411,771
SLE_Discovery,SLE_Replication,-0.506529,-1,-0.03771,0.256571,0.00541,1,0.0330837,772
SLE_Discovery,SLE_Replication,-0.365563,-1,0.22648,0.133636,0,1,0.187895,777
SLE_Discovery,SLE_Replication,-0.0915672,-0.92341,0.62255,0.00838455,0,1,0.765072,778
SLE_Discovery,SLE_Replication,-0.256364,-1,0.45315,0.0657224,0,1,0.420745,779
SLE_Discovery,SLE_Replication,0.0253561,-0.48064,0.53471,0.000642934,0,0.35867,0.913012,781
SLE_Discovery,SLE_Replication,-0.155545,-0.55491,0.2162,0.0241941,0,0.30815,0.399485,782
SLE_Discovery,SLE_Replication,0.132513,-0.2887,0.59482,0.0175596,0,0.35858,0.5179,785
SLE_Discovery,SLE_Replication,0.0897162,-0.51055,0.74023,0.00804899,0,0.62441,0.737784,786
SLE_Discovery,SLE_Replication,-0.726454,-1,-0.08315,0.527735,0.01369,1,0.0281302,790
SLE_Discovery,SLE_Replication,-0.644116,-1,0.08944,0.414885,0,1,0.0836479,798
SLE_Discovery,SLE_Replication,-0.484516,-1,0.21993,0.234756,0,1,0.168242,801
SLE_Discovery,SLE_Replication,0.322302,-0.26722,1,0.103879,0,1,0.245706,802
SLE_Discovery,SLE_Replication,-0.258648,-1,0.41714,0.0668987,0,1,0.39619,804
SLE_Discovery,SLE_Replication,0.29087,-0.39844,1,0.0846054,0,1,0.360113,806
SLE_Discovery,SLE_Replication,0.231322,-0.39549,1,0.05351,0,1,0.42102,807
SLE_Discovery,SLE_Replication,0.329768,-0.47781,1,0.108747,0,1,0.366332,821
SLE_Discovery,SLE_Replication,0.916927,0.35693,1,0.840755,0.12804,1,0.0027992,822
SLE_Discovery,SLE_Replication,0.695519,0.22746,1,0.483746,0.05174,1,0.00705691,826
