phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p,LOC
SLE_Discovery,Sjogren,0.317039,-0.14673,0.96042,0.100514,0,0.92473,0.173131,1647
SSc,Sjogren,0.547296,-0.04449,1,0.299533,0,1,0.0682178,1647
SLE_Discovery,SSc,0.513115,0.15791,1,0.263287,0.02493,1,0.00589722,1744
SLE_Discovery,Sjogren,0.468864,0.16946,0.81999,0.219833,0.02872,0.67239,0.00260857,1744
SSc,Sjogren,0.476712,0.02518,1,0.227255,0.00433,1,0.0418975,1744
SLE_Discovery,RA,0.67263,0.3265,1,0.452431,0.1066,1,0.000559555,1841
SLE_Discovery,SSc,0.33432,-0.14748,0.96121,0.11177,0,0.92392,0.15765,1841
SLE_Discovery,Sjogren,0.320645,-0.34387,1,0.102813,0,1,0.303019,1841
RA,SSc,0.724494,0.34104,1,0.524892,0.11631,1,0.000457416,1841
RA,Sjogren,0.123259,-0.48225,0.8639,0.0151928,0,0.88409,0.648531,1841
SSc,Sjogren,0.583434,-0.05197,1,0.340395,0,1,0.0759886,1841
SLE_Discovery,RA,0.809713,0.24391,1,0.655636,0.05949,1,0.0053768,2115
SLE_Discovery,Sjogren,1,0.41046,1,1,0.16847,1,0.00136814,2115
RA,Sjogren,1,0.6209,1,1,0.38552,1,5.26651e-08,2115
SLE_Discovery,Sjogren,0.521376,0.24221,0.93499,0.271833,0.05866,0.87421,0.000575126,2128
SLE_Discovery,RA,0.666046,0.40446,1,0.443617,0.16359,1,2.27706e-06,2167
SLE_Discovery,SSc,0.422124,0.17372,0.71107,0.178189,0.03018,0.50562,0.00124582,2167
SLE_Discovery,Sjogren,0.594755,0.3528,0.89737,0.353733,0.12447,0.80527,6.79948e-06,2167
RA,SSc,0.873897,0.52486,1,0.763695,0.27548,1,6.05262e-06,2167
RA,Sjogren,,,,,,,,2167
SSc,Sjogren,0.969048,0.63532,1,0.939055,0.40363,1,1.1209e-07,2167
SLE_Discovery,RA,0.515031,0.29782,0.74609,0.265257,0.0887,0.55664,5.98116e-06,2318
SLE_Discovery,Sjogren,0.48677,0.12767,1,0.236945,0.01639,1,0.0107726,2318
RA,Sjogren,0.75949,0.45616,1,0.576825,0.20808,1,3.47226e-06,2318
SLE_Discovery,RA,0.302539,-0.08863,0.75094,0.0915297,0,0.56391,0.119749,2364
SLE_Discovery,SSc,-0.427324,-1,-0.00816,0.182606,0.00261,1,0.0525795,2364
RA,SSc,0.41182,-0.13707,1,0.169596,0,1,0.136965,2364
SLE_Discovery,RA,0.601466,0.2008,1,0.361762,0.04044,1,0.00593921,2466
SLE_Discovery,Sjogren,0.53667,0.15679,1,0.288015,0.0248,1,0.00721859,2466
RA,Sjogren,0.532946,-0.02017,1,0.284031,0,1,0.0678625,2466
