pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
GSE42021_TREG_PLN_VS_CD24LO_TREG_THYMUS_DN	2.50994197876708e-09	2.12592085601572e-06	0.774939030136436	0.829368240566925	2.04296524453268	189	CFB|HLA-B|HLA-C|HCP5|TAP2|TAP1|PSMB9|PSMB8|HLA-E|HLA-J|HLA-F|HLA-G|OR2H1|IL1RN|HLA-A|ZSCAN9|STAT1|TRIM38|H1-10|TAPBP|IRF7|RFC2|IFIH1|SHFL|P2RY11|TBL2|ZNF768|SECTM1|USP18|IL19|IFI30|C1S|SP110|PDIA3|BST2	ImmuneSigDB
GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	4.04364579148972e-08	1.80086906713722e-05	0.719512826338911	0.822044114230739	2.01868538216631	191	CFB|HLA-B|HLA-C|TAP2|TAP1|PSMB9|PSMB8|HLA-E|TRIM26|HLA-J|HLA-F|HLA-G|OR2H1|HLA-A|BTN3A3|BTN3A1|STAT1|TRIM38|TAPBP|IL12A|IRF7|TRAFD1|IFIH1|SHFL	ImmuneSigDB
GSE42021_TREG_VS_TCONV_PLN_UP	8.21627466518162e-07	0.000173979616035221	0.659444398037935	0.798230898576396	1.95882385394974	192	CFB|HLA-B|HLA-C|TAP2|TAP1|PSMB9|PSMB8|HLA-E|HLA-J|HLA-F|HLA-A|BTN3A3|STAT1|TRIM38|TAPBP|IRF8|IL12A|IRF7|TRAFD1|IFIH1|SHFL|SECTM1|USP18|TOP1|CREM|IFI30|C1S|SP110|BST2|JAK2	ImmuneSigDB
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	0.000157575555495143	0.00953332110745614	0.518848077743792	0.745151977611985	1.83584703480679	185	CYP21A2|SNHG32|HLA-DQB1|HLA-DRA|HLA-DQB2|HLA-J|HLA-F|RPS18|HLA-DPB1|ICAM3|ERP29|ERBB2|PPCDC|DNAJA2|RPL28|SIGIRR	ImmuneSigDB
GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_DN	8.17847668120539e-05	0.00620343559610236	0.538434096309916	0.755141294554216	1.86363122187509	184	MICA|TUBB|DHX16|HLA-E|STAT4|H4C13|H2BC15|H2BC14|H2BC13|ZSCAN26|H2BC12|H2BC7|H2BC6|H2BC5|H2BC10|H2BC4|TNFAIP3	ImmuneSigDB
GSE43955_10H_VS_30H_ACT_CD4_TCELL_UP	3.05889267404814e-05	0.00310905851390253	0.557332238758646	0.768191585574371	1.89309796233436	186	HSPA1A|HSPA1B|PPT2|AIF1|TNF|HLA-DRB1|TUBB|ARPC5|TRIM27|IRF5	ImmuneSigDB
GSE43955_10H_VS_60H_ACT_CD4_TCELL_UP	3.33951748768568e-05	0.00326373612931127	0.557332238758646	0.767182153954289	1.89061036291388	186	NEU1|DDAH2|LY6G6C|EGFL8|AGER|HLA-DRB1|PSMB8|MRPS18B|TNIP1|RGL2|DEAF1|ALDH2|HIPK1	ImmuneSigDB
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP	0.000700653787589093	0.0287155044236111	0.477270815362862	0.735595243840734	1.81601922696529	183	WHR1|GPANK1|PRRC2A|NOTCH4|RPP21|HLA-E|TRIM27|B3GALT4|ALPG|PRSS8|CUX2|MTMR9|KCNA1|PTDSS2	ImmuneSigDB
GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	0.000271138817929304	0.013642846264522	0.49849310876659	0.740272780780294	1.82132396721176	188	CFB|HLA-B|HLA-DRA|PSORS1C2|TAP2|TAP1|PSMB8|ITGAM|STAT1	ImmuneSigDB
GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_UP	0.000394174156878263	0.0185480839375494	0.49849310876659	0.725473271634552	1.78027980677663	192	NELFE|LTB|RNF5|GPSM3|HLA-DQA1|TAP1|STAT1|TNIP1|RGL2|DUSP12|GRB7|EIF3G	ImmuneSigDB
GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	8.8553058107092e-05	0.00661803884265061	0.538434096309916	0.753085799742045	1.85506032154356	189	SKIC2|EHMT2|SAPCD1|DDX39B|HLA-DOB|NRM|ATAT1|STAT4|BRD2|RING1|TNFAIP3	ImmuneSigDB
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP	2.4992955391636e-05	0.00270242977234668	0.575610261071129	0.770520652628029	1.89883761397363	186	HLA-DQA1|HLA-DRA|HLA-DRB1|HLA-DOB|TAP1|PSMB8|HLA-DMB|HLA-E|UBD|ZFP57|DAXX|IRF8|ICAM1|IRF7|BLTP3A|IFIH1|IKZF1|PHKG2|IL10RA|USP18|CUL2|GDF5	ImmuneSigDB
GSE5960_TH1_VS_ANERGIC_TH1_UP	0.000123567110218771	0.0081554292744389	0.518848077743792	0.754665366917874	1.85893615625368	187	EHMT2|VARS1|LTB|PBX2|HLA-DQA1|DDX39B|POLR1H|ZSCAN26|ABT1|DEAF1|FCGR2B|SPRED2	ImmuneSigDB
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_DN	0.000480844679747581	0.0216252448006832	0.49849310876659	0.742267151586456	1.8553736720621	157	LSM2|VARS1|CLIC1|PRRC2A|H2BC14|H2AC8|H4C4|H1-3|ANXA6|TYK2|TDH|WDFY4	ImmuneSigDB
GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_UP	0.000394174156878263	0.0185480839375494	0.49849310876659	0.744685606963682	1.86031825862214	158	HLA-B|DDX39B|PSMB9|HLA-E|SMG7|HLA-F|BRD2|HLA-A|STAT1|IRF7|PDHX|POM121|IFIH1|SHFL|RUSF1|MED1|RPL28|PTPRC|YPEL1|USP18|SP110|TRAPPC4|SIGLEC1|SPDL1	ImmuneSigDB
GSE7509_DC_VS_MONOCYTE_DN	0.000177980691272794	0.0105174171284691	0.518848077743792	0.747790745586986	1.83836763918353	190	ABHD16A|NOTCH4|HLA-DQA1|TNF|HLA-DRB1|TAP1|PSMB9|OR2H1|STAT1|NAB1	ImmuneSigDB
GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN	0.000157575555495143	0.00953332110745614	0.518848077743792	0.746981163378383	1.8378288804334	188	C2|HLA-DQB1|TNF|PSMB9|PPP1R11|HLA-F|HLA-G|BTN3A3|HLA-DPA1|BTN3A1|BTN3A2|TAPBP|BAK1|RFC2|UBE2S|CNTNAP2|ZNF688|CHD1L|CHI3L1|TRIB2	ImmuneSigDB
GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_4H_UP	1.15510845364701e-06	0.000225779275439774	0.643551836150722	0.794750925876546	1.95769314546707	189	NELFE|LTB|HLA-DRA|HLA-DRB1|HLA-DOB|TAP1|PSMB9|HLA-DMB|NCF2|HLA-G|HLA-DOA|ITGAX|ZBTB22|RGL2|BRAP|RGL1|FCGR2B|SPRED2|GRB2|IFIH1	ImmuneSigDB
GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_UP	0.00135300362750369	0.0477497530206509	0.45505986738723	0.712385192641688	1.75811241761356	184	BAG6|HLA-DQA1|HLA-B|ATP6V1G2|HLA-DRB1|TAP2	ImmuneSigDB
HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN	0.000490003351736254	0.0218438336274004	0.477270815362862	0.701726497305499	1.71244389436777	242	AIF1|HLA-DQB1|HLA-DQA1|HLA-DRA|HLA-DRB1|HLA-DRB5|NCF2|GABBR1|HLA-DOA|WAKMAR2|ALDH2|TMEM150B	ImmuneSigDB
HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	5.9796008468308e-06	0.000914439533780718	0.610526878385931	0.718395444423449	1.74582281072952	383	HLA-DQB1|HLA-DRA|MICB|HLA-DRB1|HLA-DOB|TAP2|TAP1|PSMB9|PSMB8|PPP1R2P1|HLA-DMB|HLA-DMA|HLA-DRB5|HLA-K|BTN3A3|STAT1|TRIM38|CMAHP|GLS|ICAM1|IRF7|TRAFD1|BAK1|LIMK1|ERI1|IFIH1|ETV7|CD7|SECTM1|ERLIN1|DEXI|CIITA|NASP|IFI30|FCRL2|RHOH|BST2|MVB12A|CETP|SP140	ImmuneSigDB
