pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
REACTOME_CELL_CYCLE_MITOTIC	1.12088365346981e-06	1.31386052989193e-05	0.643551836150722	0.708977834035708	1.69521665183762	498	FKBPL|CSNK2B|TUBB|H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1|PTTG1|LEMD2|RFC2|POM121|GINS3|CSNK2A2	Reactome
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.83248730964467	0.971714993866893	0.0214353576364558	0.164780103216325	0.421256503765879	67	ARHGEF17|ARHGEF26|ITSN1|ECT2|NGEF|BCL2L11|ARHGEF16|UBA52|ARHGEF15|NGFR|VAV2|PLEKHG2|ARHGEF2|APH1B|SOS2|TIAM2|YWHAE|ITGB3BP|OBSCN|RASGRF2|ARHGEF5|ARHGEF39|BAD|TRIO|ARHGEF10|RAC1|RPS27A|VAV1|GNA13|UBB|PSEN2|ARHGEF11|UBC|NCSTN|ABR|APH1A|PSENEN|PLEKHG5|ARHGEF3	Reactome
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	0.812725090036014	0.970056349541365	0.0315649069021069	0.190828272394152	0.492400550896777	16	FLNC|ACTN1	Reactome
REACTOME_CELL_JUNCTION_ORGANIZATION	5.49451046000879e-09	7.26425394538371e-08	0.761460801445585	0.792009353111171	1.91769561008166	288	CSNK2B|H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1|LAMC2|CSNK2A2|CTSB|CADM3|CLDN23|PRKCSH|FLNC|CLDN4	Reactome
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.558441558441558	0.939919918356576	0.0405756447890657	0.394906171786505	0.976080300244434	141	ITGAM|ITGAX|PPIL2|CD44|PTPN11|HRAS|GRB2|GRB7|ITGAL|PTPN6|PIK3R2|LYN|IGHV4-59|IGHV3-53|DOK2|IGHV1-69|ITGA5|CXADR|ESAM|PLCG1|PSG1|PSG6|PSG7	Reactome
REACTOME_CGMP_EFFECTS	0.191320882831435	0.796819940583667	0.249246554383295	-0.277715225892261	-1.39413649316432	16	KCNMA1|PDE1A|KCNMB3|KCNMB1|PDE11A|IRAG1|PDE2A|ITPR1|PDE9A|PDE10A|KCNMB4|KCNMB2|PRKG2|PDE1B|PDE5A	Reactome
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY	0.88785046728972	0.974976864495278	0.0256927476530375	0.160073091760721	0.411759080312003	19	RNASE1|PLIN2|UBA52|PARK7	Reactome
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.572025052192067	0.939919918356576	0.041488040200221	0.26993244398235	0.704501112417116	46	CX3CL1|CCL22|CCL17|CXCR5|CCL21|CCL19|CCL27|CXCR4|CCL13|CCL1|CCR1|CCR6|CCRL2|CCR7|CCR3|CCR5|CXCL3|ACKR3|PF4|PPBP|CXCL5|CCL20	Reactome
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.699316628701595	0.952675399056053	0.0362254755857254	0.216131627825206	0.558798171534452	24	FDFT1|SQLE|GGPS1|TM7SF2|ARV1	Reactome
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.900662251655629	0.974976864495278	0.0217240006200525	0.13739006712013	0.360356896511603	31	IDUA|HEXB|DCN|VCAN|HYAL1|HYAL3|CSPG4|GLB1L2|ARSB|CHST14|CSPG5|GLB1L3	Reactome
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	3.50457925516539e-25	8.07223540411644e-23	1.30309315086572	0.960357597450541	2.4404173152828	68	H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1	Reactome
REACTOME_CHROMATIN_ORGANIZATION	3.42297351664404e-13	5.98757059757581e-12	0.932595211336209	0.837340842181917	2.04044111849315	263	EHMT2|H3C11|H4C13|H4C12|H2BC15|H2AC16|H4C11|H2AC14|H2AC15|H2BC14|H3C10|H2BC13|H2AC13|H2BC17|H2AC17|H3C12|H2AC11|H4C9|H2AC12|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1|H2AC1|KAT8|GPS2|KMT5C	Reactome
REACTOME_CHROMOSOME_MAINTENANCE	9.30642575602965e-10	1.30634643019824e-08	0.801215574617779	0.868369267580489	2.15180402574306	129	H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H2BC13|H2BC17|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H4C5|H2AC7|H2BC7|H4C4|H2BC6|H2BC5|H4C6|H2BC9|H2AC6|H2BC10|H4C8|H4C2|H2AC4|H2BC3|H4C1|H4C3|H2BC4|H2BC1|DAXX	Reactome
REACTOME_CILIUM_ASSEMBLY	0.611388611388611	0.939919918356576	0.0363783055518278	0.377575019408544	0.932672627050714	181	TUBB|ATAT1|SMO|TUBA8|CEP250|TNPO1|CEP97|TCTN1|CEP78|TMEM67|RAB3IP|KIF3B|CEP43|CEP70|BBS5|IQCB1|PDE6D|CEP72|DYNLL1|CDK1|IFT81|TTC8|HAUS6	Reactome
REACTOME_CIRCADIAN_CLOCK	0.43043043043043	0.934136988406113	0.0525898950623616	0.45484208836278	1.14481647688944	105	CSNK2B|CSNK2A2|MED1|PSMD3|CREM	Reactome
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	0.663366336633663	0.952675399056053	0.170932335370056	-0.124186133505214	-0.839537718651414	28	SIRT3|DLD|FXN|SDHAF2|IDH3A|TRAP1|SDHC|MDH2|SDHAF1|SUCLG1|SDHAF3|ISCA2|ISCU|CS|NNT|ACO2|OGDH|LYRM4|FH	Reactome
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.999000999000999	0.999880401288852	0.0014426950408889	0.122111173543228	0.29597895268488	293	MLN|DRD4|S1PR5|S1PR2|P2RY11|ACKR1|CX3CL1|CCL22|CCL17|UTS2R|ADORA1|EDN3|P2RY6|GPR132|GPR65|CXCR5|ADRA2B|C5AR1|KISS1R|NTS|CCL21|PTGFR|ADORA2A|RXFP2|CCL19|ADRA2A|CCL27|CXCR4|ADRB2|NPBWR1|MTNR1B|ANXA1|P2RY2|NMB|OPN4|OPN1SW|MC4R|AVP|CCL13|CCL1|CCR1|INSL3|ADRB3|OXT|CCR6|ADRB1|CCRL2|RXFP4|GPR37|GNRH2|HTR1F|HTR1D|OPRD1|NPFFR1|HRH2|CCR7|GPR37L1|PTGDR|NMUR1|GPR39|OXTR|FFAR2|RXFP1|HCAR2|CCR3|LPAR1|CCR5|GRP	Reactome
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.832661290322581	0.971714993866893	0.0210003441275487	0.175528678989699	0.444356590153141	90	SCT|SMO|PTH2|GNG4|CRHR1|GNG7|RAMP3|FZD7|ADGRE3|GNG2|WNT3A|GNGT2|ADCYAP1R1|FZD4|GNG11|ADGRE2|GNB2|WNT2B|GHRH|ADGRE5	Reactome
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.223684210526316	0.865064446831364	0.0902635484340068	0.601204492420213	1.57533110483967	33	GABBR1|GRM4|GPRC6A|TAS1R3	Reactome
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.00157389901072944	0.0151654506372828	0.45505986738723	0.65792684353574	1.58733142143859	339	HLA-B|HLA-C|TAP2|TAP1|PSMB9|PSMB8|TRIM39|HLA-E|NCF2|HLA-F|HLA-G|HLA-A|TAPBP|UBE2L3|KEAP1|KCTD6|UBE3C|UBE2S|FBXL20|SEC24A|PSMD3|CUL2	Reactome
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	0.328767123287671	0.927945810677212	0.204294756516886	-0.195306947401473	-1.07730666382587	19	PEX12|ATAD1|ACBD5|PEX19|ABCD3|GDAP1|SLC25A17|PEX2|PEX13|ABCD2|PEX14|PEX3|PEX11B|ALDH3A2|PXMP4|FIS1	Reactome
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.724275724275724	0.952675399056053	0.0281514818960232	0.305662808868223	0.757872074686393	133	ARPC5|GRB2|ACTR2|PACSIN1|M6PR|GAK|DNM3|ARPC3|HIP1R|LDLRAP1|ITSN1|DNM1|STAM2|FCHO2|ACTR3|SYNJ1|ADRB2|COPS7B|HIP1|UBA52|COPS8	Reactome
REACTOME_CLEC7A_DECTIN_1_SIGNALING	0.653185035389282	0.952675399056053	0.0338245444462164	0.297555926866151	0.760690228982119	82	PYCARD|ITPR3|CCL22|CCL17|PSMD3|RELA|NFATC1|CHUK|CASP8|PSMC6|ITPR2|PSMB3|PSMA3|UBA52|PSMB6|TAB1|PSMD6|TAB2|PSMB4|PSMA7|SKP1|ADRM1|BCL10|PSMC4|CLEC7A|PSMA1|PSMB1|FBXW11|PSMD14|NFKB1|PSMB7	Reactome
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	0.753521126760563	0.962313388973786	0.0341204536062472	0.201337026808691	0.518028952859149	20	CBLIF|LDLRAP1|TCN1|CD320	Reactome
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.608121827411168	0.939919918356576	0.0373806494758473	0.315571329048055	0.805844802382571	63	COL11A2|COL13A1|COL11A1|COL16A1|P3H1|COL4A4|COL18A1|COL22A1|PCOLCE|COL5A2|ADAMTS2|COL3A1|COL6A1|PCOLCE2|COL4A1|COL6A3|COL9A1|BMP1|COL1A1|COL4A3|COL26A1|P4HA2|COL4A2|COL2A1|COL23A1|COL9A2|P3H3|COL19A1	Reactome
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	0.44350580781415	0.934136988406113	0.0536769600638127	0.400840504455348	1.05284534243743	41	COL11A2|COL13A1|COL11A1|COL16A1|COL4A4|COL18A1|COL22A1|COL5A2|COL3A1|COL6A1|COL4A1|COL6A3|COL9A1|COL1A1|COL4A3|COL26A1|COL4A2|COL2A1|COL23A1|COL9A2|COL19A1	Reactome
REACTOME_COLLAGEN_DEGRADATION	0.591233435270133	0.939919918356576	0.038875878582578	0.327195325157382	0.837242324666011	61	COL11A2|COL13A1|CTSB|COL11A1|COL16A1|MMP15|MMP7|MMP9|COL4A4|MMP20|COL18A1|COL5A2|COL3A1|COL6A1|COL4A1|COL6A3|COL9A1|COL1A1|COL4A3|COL26A1|COL4A2|ADAM10|COL2A1|COL23A1|PHYKPL|COL9A2	Reactome
REACTOME_COLLAGEN_FORMATION	0.661957618567104	0.952675399056053	0.0330894161454377	0.295656049765971	0.750654039293557	85	COL11A2|LAMC2|COL13A1|CTSB|COL11A1|COL16A1|MMP7|MMP9|P3H1|COL4A4|MMP20|COL18A1|COL22A1|PCOLCE|COL5A2|ADAMTS2|PLEC	Reactome
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.599299065420561	0.939919918356576	0.0445070537769277	0.24844665854394	0.639084099041222	19	PROC|SERPINC1|SERPIND1|PF4|THBD|FGA|SERPINA5|F13A1|PRTN3|FGG|F2|FGB|F13B|F2R|PROCR|F5	Reactome
REACTOME_COMPLEMENT_CASCADE	9.44810563526347e-05	0.000985550101586658	0.538434096309916	0.846803074543106	2.16033225044413	65	C4A|CFB|C4B|C2	Reactome
