pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_DN	0.863136863136863	0.994436984461922	0.0181674946847152	0.237561372726361	0.586283381026998	184	B3GALT4|KAT8|KRI1|IPP|SKAP1|N4BP2|TNNT1|RHOH|KAT5|TMEM60|CD37|CARD6|BTF3L4|GTPBP3|EGR2|PPP2R1B|ABCB9|HCLS1|METTL2B|RPF1|CFAP298|ACYP1|EPHX1	ImmuneSigDB
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP	0.0969030969030969	0.456828885400314	0.139599673451922	0.574441934108687	1.41562974049952	186	HLA-DQA1|HLA-DRB1|GTF2H4|PRSS16|BANK1	ImmuneSigDB
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN	0.453546453546454	0.850211389495786	0.0500922874402106	0.432108170159924	1.06641006516898	184	PSORS1C1|ZSCAN12|ZBTB22|PYCARD|PRSS36|SCHIP1|TCAP|RPL28|TYW1B|TMEM69|PHTF2	ImmuneSigDB
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP	0.974025974025974	0.998574937084988	0.00745009291296374	0.135467534692801	0.335207375242441	181	CMAHP|ACAD10|COPZ2|CEP250|ADH1B|ALDH16A1|LINC00649|ASTL|BCAS3|AMTN|CDO1|DLEC1|CTLA4|EPHA4|BARHL2|ARV1|BRSK2|BATF2|ADAT1|CSPP1|ATG3|BRIP1|GPR12|BHLHA9|EPB41|CIRBP|ATG16L1|C12orf75|GPR37|ANKH|ADA|GLRA3|ENPP6|CIMIP6|FDCSP|CDC14A|EVC2|CASP8AP2|CDH3|ATF7IP2|AMER2|ANXA10|CALR3|ADAM10|FA2H|CTSF|EPB41L2|AMD1|DPP3|CBX8|ASXL2|CAPN7|PHYKPL|BAG5|ALKBH8|CCDC61|FBLN7|CAMSAP1|DAG1|PSME3IP1|CCND3|GNA13|RIPPLY3|DENND2C|DSTNP2|LINC00518|CARD19|CTCFL|CYP27B1|CYP1B1|CAMK2A|CHML|ELANE|ATIC|FSCB|DUT|CCDC178|COX7C|DDX5|BHMT2|GLRA1|EPC2|BDP1|FAM209B|C1QTNF8|ADGRG1|AANAT|ANKRD18A|ARHGAP12|CNN2|DIPK2A|PRR30|DMGDH|DIMT1|GP1BA	ImmuneSigDB
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_DN	1	1	0	0.0566024113514085	0.140342710957805	180	PPP1R3B|TBL2|ERLIN1|SIK2|KIF11|TMPRSS4|TRUB2|SPIB|FAM221A|NUDT19|ESAM|IFT81|CHEK2|DBNDD2|OPCML|PLEKHG1|ZFP30|BRWD1|SPARC|STARD4|NUDT12|HSPA2|TIRAP|CTSE|PTPN14|ADCY9|BCAT1|GRK3|BRMS1L|TIMP3|CLEC10A|SAMD14|LPAR1|IGF2BP2|NAF1|HOXA2|EVC2|FAM217B|STOM|LEFTY1|SNRNP48|YES1	ImmuneSigDB
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP	0.642357642357642	0.933353828586486	0.0340463727579649	0.358621808881331	0.888717740253321	179	PPP1R11|UBE2L3|CDC37|HSPBP1|GRB2|PDHB|PPCDC|RPP14|COX5A|FCRL1|BST2|HERPUD1|RPL37|SAR1B|SDHD|INPP5B|CHMP4B|YIPF4|GIGYF2|HCLS1|ARL6IP1|FYB1|ADH5|LASP1|ING3|NUDT3|CMC1|BCL2L11|PCDHA12|TTC39B|PPP4R3A|HNRNPC|BTF3|PRDX2|SF3B3|TUT1|GNGT2|APOC3|FABP1|ETF1|CANT1|SENP2|FAM120B|C18orf32|FIBP|SART3|UBE2E1|YWHAH|SNHG6|SS18|ASNSD1|DUSP6|TRMT112|PPM1J|COX6A1|DNAJB11|DDX24|IFI27|LDHA|ZNF205|SIKE1	ImmuneSigDB
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_DN	0.438561438561439	0.842634869856042	0.0516355964484201	0.442307212728875	1.08951716344361	187	PRR3|TRIM39|GABBR1|PTDSS2|PXK|GGA3|TBL2|FBXL20	ImmuneSigDB
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP	0.0184741928991579	0.24513276322068	0.352487857583619	0.659896730030478	1.62622082619891	186	LTB|HLA-B|HLA-DRB1|HLA-DMA|HLA-G|UBD|BCL2L15|WDFY4|RGS4|BNIP5|TRAF3|CCL17|CLDN7	ImmuneSigDB
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN	0.486513486513487	0.874219640627545	0.0468819856878333	0.419989056602877	1.0413408434196	180	GTF2H4|PRSS16|H2BC3|MAGI3|SHCBP1|ERI1|RTKN2|PAX1|CHCHD3|RUVBL1|PRIM2|PTCRA|MDM1|RAG2|PCNA|PRKCB|MACIR|MCM6|ARHGAP19|FBLN2|CHRNA9|ACYP1|RACGAP1|CDCA5|CXCR4|FAM107B|SLA2|IFNGR1|AGFG2|FKBP5|CNOT6	ImmuneSigDB
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_UP	0.503496503496504	0.884774976061283	0.0453152441270267	0.411262746300282	1.02082332134897	177	NFKBIL1|STAT4|GRB2|TRAPPC4|ALDH16A1|TRIM13|BCL2A1|YRDC|GPR65|HVCN1|NDUFA7|GIGYF2|IRF4	ImmuneSigDB
